id,X_nom,X,Y_nom,Y,Z_nom,Z
R1,38.254,38.219,-21.500,-21.499,3.958,3.967
R2,-8.626,-8.671,-43.026,-43.018,3.958,3.973
R3,-43.586,-43.627,-5.091,-5.087,3.958,3.960
R4,-18.311,-18.350,39.879,39.881,3.958,3.968
R5,32.269,32.233,29.738,29.738,3.958,3.965
S1,38.454,38.422,21.500,21.504,4.282,4.287
S2,32.331,32.294,-29.928,-29.925,4.282,4.288
S3,-18.473,-18.514,-39.997,-39.992,4.282,4.290
S4,-43.747,-43.791,5.209,5.222,4.282,4.279
S5,-8.565,-8.600,43.216,43.219,4.282,4.288
M,-38.963,-38.999,-25.000,-24.997,5.489,5.470
N,-38.019,-38.061,27.623,27.628,5.883,5.882
LD,20.978,21.005,20.978,20.962,0.000,0.000
UD,20.978,21.002,20.978,20.981,0.000,0.000
Datum H,0.000,-0.029,0.000,0.014,0.000,0.000
Large Bore,0.000,-0.040,0.000,0.011,0.000,0.000
